date_time,IEF,QQQ,SHY,SPY,TLT
2002-07-26,48.72388,19.65282,59.44279,59.17824,43.08364
2002-07-29,48.15301,20.65844,59.2454,61.98869,42.50404
2002-07-30,48.12358,21.07455,59.22347,62.79661,42.5667
2002-07-31,48.56497,20.67578,59.40624,62.97614,43.09409
2002-08-01,48.76507,19.70484,59.52321,61.30507,43.3395
2002-08-02,49.14173,19.28872,59.64018,59.93092,43.78334
2002-08-05,49.38891,18.58652,59.73522,57.84552,43.97654
2002-08-06,48.98871,19.50545,59.589,59.79281,43.60058
2002-08-07,49.14173,19.76552,59.67673,60.83551,43.70501
2002-08-08,48.97105,20.43304,59.589,62.80351,43.70501
2002-08-09,49.33594,20.22498,59.60363,63.0383,44.32117
2002-08-12,49.43599,20.28567,59.59631,62.57564,44.59269
2002-08-13,49.8303,19.59214,59.69867,61.43627,45.14096
2002-08-14,49.68317,20.84049,59.56707,63.68048,45.31328
2002-08-15,49.39479,21.26527,59.5159,64.56436,44.91643
2002-08-16,49.0711,21.41265,59.47934,64.37101,44.41516
2002-08-19,49.11819,21.93279,59.48666,65.87637,44.55092
2002-08-20,49.57135,21.83743,59.62556,65.17893,45.04697
2002-08-21,49.44776,22.3229,59.57438,65.32394,44.80678
2002-08-22,49.18292,22.67833,59.50859,66.89835,44.41516
2002-08-23,49.40656,21.80276,59.58169,65.32394,44.85378
2002-08-26,49.4301,21.88945,59.57438,65.77969,44.89555
2002-08-27,49.28297,21.12657,59.53052,65.02011,44.61358
2002-08-28,49.46542,20.35502,59.57438,63.59762,44.83811
2002-08-29,49.69494,20.62376,59.64018,63.62524,45.1984
2002-08-30,49.7891,20.36369,59.66211,63.37665,45.46992
2002-09-03,50.33235,19.62681,59.80307,60.9598,46.16875
2002-09-04,50.31463,19.70484,59.7811,61.82987,46.15826
2002-09-05,50.51542,19.21937,59.84701,61.30507,46.40998
2002-09-06,50.12566,19.80887,59.72984,62.18204,45.8646
2002-09-09,50.05479,20.00826,59.6493,62.60326,45.79642
2002-09-10,50.23195,20.50239,59.68591,63.32141,46.01667
2002-09-11,50.04889,20.32901,59.6493,62.92781,45.77545
2002-09-12,50.30873,19.77419,59.69323,61.76772,46.13205
2002-09-13,50.54494,19.93023,59.73717,61.91964,46.55681
2002-09-16,50.56266,19.64415,59.7152,62.07155,46.63548
2002-09-17,50.72802,19.22804,59.75914,60.64907,46.72462
2002-09-18,50.78707,19.01131,59.75181,60.0414,46.73512
2002-09-19,51.041,18.70789,59.87629,58.48771,47.04976
2002-09-20,51.02329,18.78591,59.88362,58.50721,46.82951
2002-09-23,51.31266,18.22242,59.89827,58.02861,47.24903
2002-09-24,51.49572,18.23109,59.92755,57.09221,47.55318
2002-09-25,51.10596,18.9593,59.86897,58.50721,46.97634
2002-09-26,51.07053,18.72523,59.89094,59.46441,46.86621
2002-09-27,51.40715,18.47383,60.01542,57.39741,47.21757
2002-09-30,51.70832,17.96235,60.10329,56.73153,47.40635
2002-10-01,51.25694,19.05466,60.02982,59.45747,46.81821
2002-10-02,51.42871,18.42181,60.08115,57.67486,47.08667
